objectId,ra_deg,dec_deg,gmag,rmag,jd_first,jd_latest,sherlock_class,redshift_z,photo_z,photo_z_err,distance_modulus,separation_kpc,class_reliability,fetched_utc
ZTF18aahyxwq,213.74258279999998,46.5144405,20.0383,,2461053.0362847,2461061.0545139,SN,0.133,0.133,0.007,626.552,7.141,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahyycq,215.44803025,46.730293450000005,,20.7102,2459377.7581366,2459393.7246875,SN,0.03,0.04,0.02,115.68,20.69,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahyzfi,211.27387036666664,44.554447333333336,20.0054,19.968,2458276.7612153,2458279.7618056,SN,0.04,,,179.69,32.26,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahzanx,211.3966526,40.1850275,,19.4823,2461011.0481481,2461011.0481481,SN,0.066,0.068,0.013,295.639,2.533,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahzfdx,220.024619,48.981374849999995,20.2267,,2458276.7612153,2458279.7266782,SN,0.61,,,3590.64,31.81,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahzopw,214.7319416586915,37.7784744148925,20.4122,20.1422,2458272.75,2458279.7584606,SN,0.15,,,738.64,28.98,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahzxvx,223.99935606666668,33.064065033333335,19.9744,,2458273.7560301,2458281.7338657,SN,0.13,0.16,0.01,605.37,29.42,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahzymj,221.19197040000003,30.499583833333332,20.4721,20.1196,2458278.7277894,2458284.734537,SN,0.06,,,278.83,44.82,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahzzsx,217.69034446451835,29.728614103239,20.4568,,2458272.75,2458284.734537,SN,0.01,,,59.18,16.2,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiafhf,208.1506046828125,37.474609761132996,20.3757,,2458272.75,2458472.0133796,SN,0.01,,,33.08,29.26,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaialdy,247.6619244,35.0558656,17.6053,,2461050.0680903,2461050.0680903,SN,0.031,0.028,0.007,135.739,1.323,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaibfts,244.6201512,43.9657483,,16.7224,2460780.9012037,2460780.9012037,SN,0.007,0.0,0.0,28.627,11.752,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaibppj,222.3432981,33.0321046,,20.2683,2460353.9774653,2460353.9774653,SN,0.086,0.081,0.021,394.422,10.988,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaicvks,162.3905094,44.6430997,19.7205,,2460728.8952778,2460728.8952778,SN,0.091,0.0,0.0,416.958,35.919,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaidehi,162.8218609,17.7660248,,13.6134,2460697.9195949,2460697.9195949,SN,0.057,0.092,0.028,255.204,4.723,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaideol,165.6574002,8.1406693,19.3558,,2461003.0582755,2461003.0582755,SN,0.072,0.0,0.0,326.836,44.329,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaidfgk,166.99545435,17.3971912,20.1958,,2458856.0203241,2458874.8759722,SN,0.01,,,42.34,43.64,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaidfgw,166.6113608,17.4850974,19.8489,,2459966.9141435,2459966.9141435,SN,0.01,0.0,0.0,42.51,17.77,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaidkde,167.21914077027023,8.442539672972972,20.3124,19.1981,2461094.903206,2461123.8317361,SN,0.039,0.044,0.008,173.09,3.125,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiebnm,169.97170495999998,18.220985980000002,20.3319,,2458883.961169,2458905.8101273,SN,0.01,,,23.48,20.14,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiedco,163.838083,17.4479314,19.9222,,2460616.0231829,2460616.0231829,SN,0.004,0.0,0.0,16.712,17.231,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiemlr,174.32099765,44.22213415,20.4661,19.3151,2458559.7578356,2458567.7664352,SN,0.06,0.07,0.01,263.71,36.6,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaierzh,207.148378,57.2348645,,19.1748,2461016.9961227,2461016.9961227,SN,0.097,0.108,0.023,443.413,2.807,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaieynv,192.1317283,30.2273964,,19.1311,2459884.0348727,2459884.0348727,SN,0.07,0.05,0.01,301.14,1.85,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiezxm,200.50329498000002,28.73191398,,19.9863,2461031.0369907,2461060.9837153,SN,0.136,0.135,0.018,638.713,4.276,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaifemv,186.75675175,15.904275850000001,,19.904,2458274.6979861,2458559.7703819,SN,0.01,,,34.06,11.45,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaifiqs,167.6558465,28.73210205,17.7781,17.4104,2461016.9030556,2461016.9827199,SN,0.031,0.034,0.009,135.911,1.313,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaifqer,151.2657789,50.8065632,,16.1116,2460743.8216435,2460743.8216435,SN,0.118,0.0,0.0,550.009,48.065,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaifret,134.8307209333333,45.10051946666667,19.8488,18.689,2458559.7379977,2458575.7580208,SN,0.09,0.11,0.03,396.16,10.25,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaifryl,143.27074646666668,48.814622766666666,20.0898,18.9917,2458559.7384606,2458575.7704861,SN,0.03,,,115.4,47.42,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaiggeg,186.9135726,12.260802566666666,,20.2797,2461095.9284491,2461123.807338,SN,0.003,0.0,0.0,13.373,15.613,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaigkup,202.15476030000002,30.7263786,,20.0464,2460842.7006829,2460846.8260995,SN,0.06,0.053,0.012,269.193,7.221,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaigurw,185.7574937,58.4441037,,16.248,2461016.9724306,2461016.9724306,SN,0.015,0.0,0.0,66.812,0.553,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaihheo,170.74293743333337,30.402494899999997,19.9943,19.2186,2458543.8400231,2458567.7573264,SN,0.12,,,570.51,26.95,2,2026-03-24T12:32:39.811136+00:00
ZTF18aaihkft,176.46308199999999,16.1300531,20.2503,19.8006,2458513.9252662,2458575.7731944,SN,0.01,,,45.67,32.34,2,2026-03-24T12:32:39.811136+00:00
